4,7
3,4,7,9,50
0,1,7,9,20,24,31,33
4,7
4,7,28
0,1,2,4,7,10,21,24,43
4,7,12,25,48,65,73
3,7,24
3,4,7,13,26,44,45,66
2,4,7,9,16,33,62,63,66,72
4,7,26,48
4,7,25,73
4,7,15,40,50,76
0,4,7,41
4,7,24,62,66,72,76
4,7
3,4,7,9,50
0,1,7,9,20,24,31,33
4,7
4,7,28
0,1,2,4,7,10,21,24,43
4,7,12,25,48,65,73
3,7,24
3,4,7,13,26,44,45,66
2,4,7,9,16,33,62,63,66,72
4,7
3,4,7,9,50
0,1,7,9,20,24,31,33
4,7
4,7,28
4,7,26,48
4,7,25,73
4,7,15,40,50,76
0,4,7,41
4,7,24,62,66,72,76
4,7
3,4,7,9,50
0,1,7,9,20,24,31,33
4,7
4,7,28
