0.118,1.777,0.975,0.007,0.006,30.357,0.002,0.04,0.014,0.001,0.005,0.001
0.035,0.626,0.016,0.0,0.001,2.466,0.0,0.013,0.009,0.0,0.002,0.0
,0.048,137.367,0.0,0.0,109.345,0.0,0.044,0.001,0.0,0.0,0.0
0.047,0.007,0.005,0.0,0.001,0.032,0.0,0.015,0.005,0.0,0.0,0.0
0.0,0.001,0.004,0.002,0.002,0.003,0.001,0.003,0.005,0.0,0.0,0.0
22.512,0.007,0.01,0.0,0.003,0.657,0.0,0.006,0.001,0.0,0.0,0.0
0.733,0.155,0.079,0.003,0.002,0.074,0.002,0.631,0.003,0.001,0.0,0.0
0.033,0.03,0.044,0.008,0.004,0.019,0.011,0.065,0.012,0.011,0.007,0.006
5.712,1.405,3.95,2.415,-100.0,4.005,1.215,2.724,1.074,736.078,0.216,0.087
29.766,0.155,0.4,0.002,-100.0,0.041,0.001,0.7,0.003,0.011,0.052,0.244
0.422,0.31,2.054,0.094,-100.0,3.357,0.039,0.093,0.026,0.137,0.057,0.182
0.606,3.95,0.118,0.007,0.029,0.325,0.005,1.149,0.006,0.027,0.03,0.008
1.078,0.02,-100.0,0.022,-100.0,1.002,0.016,2.529,0.012,0.015,0.017,0.017
0.25,0.001,267.369,0.043,-100.0,0.615,0.009,205.62,0.012,0.001,0.007,0.002
